Gesture_Sequence,Natural_Sentence
Water+Home+Emergency,I'm thirsty. Let's go home. And this is an emergency!
Pain+Hello+Goodbye,"It hurts. Hello. And goodbye."
Pain+Hello+Yes,"I'm in pain. Hello. And yes, that is correct."
Pain+Hello+No,"It hurts. Hello. And no, that is incorrect."
Pain+Hello+Please,"I'm in pain. Hello. And if you would, please."
Pain+Hello+ThankYou,"I am in pain. Hello. And thanks."
Pain+Hello+Sorry,"I am in pain. Hello. And I am sorry."
Pain+Hello+Help,"I am in pain. Hello. And I need your assistance."
Pain+Hello+Stop,"I'm in pain. Hello. And please stop."
Pain+Hello+Wait,"I'm in pain. Hello. And please wait a moment."
Pain+Hello+Hungry,"I'm in pain. Hello. And I need food."
Pain+Hello+Water,"I'm in pain. Hello. And I need a drink."
Pain+Hello+Emergency,"I am in pain. Hello. And this is urgent!"
Pain+Hello+Home,"It hurts. Hello. And take me home."
Pain+Goodbye+Hello,"I'm in pain. Goodbye. And hello."
Pain+Goodbye+Yes,"It hurts. Goodbye. And yes."
Pain+Goodbye+No,"I'm in pain. Goodbye. And no."
Pain+Goodbye+Please,"I am in pain. Goodbye. And if you would, please."
Pain+Goodbye+ThankYou,I'm in pain. Goodbye. And much appreciated.
Pain+Goodbye+Sorry,I am in pain. Goodbye. And I am sorry.
Pain+Goodbye+Help,It hurts. Goodbye. And I need your help.
Pain+Goodbye+Stop,I am in pain. Goodbye. And please stop.
Pain+Goodbye+Wait,It hurts. Goodbye. And give me a second.
Pain+Goodbye+Hungry,I'm in pain. Goodbye. And I'm hungry.
Pain+Goodbye+Water,It hurts. Goodbye. And I'm thirsty.
Pain+Goodbye+Emergency,I'm in pain. Goodbye. And this is an emergency!
Pain+Goodbye+Home,I'm in pain. Goodbye. And take me home.
Pain+Yes+Hello,"I am in pain. Yes, that is correct. And hello."
Pain+Yes+Goodbye,"I'm in pain. Yes. And goodbye."
Pain+Yes+No,"I am in pain. Yes. And no."
Pain+Yes+Please,"I'm in pain. Yes. And if you would, please."
Pain+Yes+ThankYou,"It hurts. Yes. And thank you."
Pain+Yes+Sorry,"I'm in pain. Yes. And I am sorry."
Pain+Yes+Help,"I'm in pain. Yes. And I need your help."
Pain+Yes+Stop,"It hurts. Yes. And please wait right there."
Pain+Yes+Wait,"I'm in pain. Yes. And please wait a moment."
Pain+Yes+Hungry,"I'm in pain. Yes. And I need food."
Pain+Yes+Water,"I'm in pain. Yes. And I'm thirsty."
Pain+Yes+Emergency,"It hurts. Yes. And this is urgent!"
Pain+Yes+Home,"I'm in pain. Yes. And I want to go home."
Pain+No+Hello,"It hurts. No, that is incorrect. And hello."
Pain+No+Goodbye,"I am in pain. No. And goodbye."
Pain+No+Yes,"I am in pain. No. And yes."
Pain+No+Please,"I'm in pain. No. And if you would, please."
Pain+No+ThankYou,"I'm in pain. No. And thanks."
Pain+No+Sorry,"I'm in pain. No. And I am sorry."
Pain+No+Help,"I'm in pain. No. And I need your assistance."
Pain+No+Stop,"It hurts. No. And please wait right there."
Pain+No+Wait,"I'm in pain. No. And hold on."
Pain+No+Hungry,"It hurts. No. And I need food."
Pain+No+Water,"I'm in pain. No. And I need a drink."
Pain+No+Emergency,"It hurts. No. And this is an emergency!"
Pain+No+Home,"I'm in pain. No. And let's go home."
Pain+Please+Hello,"It hurts. If you would, please. And hello."
Pain+Please+Goodbye,"It hurts. If you would, please. And goodbye."
Pain+Please+Yes,"I am in pain. If you would, please. And yes."
Pain+Please+No,"I am in pain. If you would, please. And no."
Pain+Please+ThankYou,"It hurts. If you would, please. And thank you."
Pain+Please+Sorry,"I am in pain. If you would, please. And I am sorry."
Pain+Please+Help,"I am in pain. If you would, please. And I need your help."
Pain+Please+Stop,"I'm in pain. If you would, please. And please wait right there."
Pain+Please+Wait,"I'm in pain. If you would, please. And hold on."
Pain+Please+Hungry,"I'm in pain. If you would, please. And I'm hungry."
Pain+Please+Water,"I am in pain. If you would, please. And I need water."
Pain+Please+Emergency,"I'm in pain. If you would, please. And this is urgent!"
Pain+Please+Home,"I am in pain. If you would, please. And I want to go home."
Pain+ThankYou+Hello,"It hurts. Much appreciated. And hello."
Pain+ThankYou+Goodbye,I am in pain. Much appreciated. And goodbye.
Pain+ThankYou+Yes,"I am in pain. Much appreciated. And yes."
Pain+ThankYou+No,"It hurts. Thank you. And no."
Pain+ThankYou+Please,"It hurts. Thanks. And if you would, please."
Pain+ThankYou+Sorry,"I am in pain. Thanks. And I am sorry."
Pain+ThankYou+Help,"It hurts. Much appreciated. And I need your help."
Pain+ThankYou+Stop,"It hurts. Much appreciated. And please stop."
Pain+ThankYou+Wait,"I'm in pain. Thanks. And hold on."
Pain+ThankYou+Hungry,"I'm in pain. Thank you. And I need food."
Pain+ThankYou+Water,I'm in pain. Thank you. And I need a drink.
Pain+ThankYou+Emergency,I'm in pain. Thank you. And this is an emergency!
Pain+ThankYou+Home,"It hurts. Thanks. And I want to go home."
Pain+Sorry+Hello,"I'm in pain. My apologies. And hello."
Pain+Sorry+Goodbye,"It hurts. I'm sorry. And goodbye."
Pain+Sorry+Yes,"I'm in pain. I'm sorry. And yes."
Pain+Sorry+No,"It hurts. I apologize. And no."
Pain+Sorry+Please,"I'm in pain. My apologies. And if you would, please."
Pain+Sorry+ThankYou,"I am in pain. My apologies. And thanks."
Pain+Sorry+Help,"It hurts. I apologize. And I need your assistance."
Pain+Sorry+Stop,"It hurts. My apologies. And please stop."
Pain+Sorry+Wait,"It hurts. I apologize. And hold on."
Pain+Sorry+Hungry,"It hurts. I'm sorry. And I need food."
Pain+Sorry+Water,I'm in pain. My apologies. And I need water.
Pain+Sorry+Emergency,I am in pain. I'm sorry. And this is an emergency!
Pain+Sorry+Home,I'm in pain. I apologize. And take me home.
Pain+Help+Hello,"I'm in pain. I need your help. And hello."
Pain+Help+Goodbye,I'm in pain. Please help me. And goodbye.
Pain+Help+Yes,"It hurts. I need your assistance. And yes."
Pain+Help+No,"I'm in pain. Please assist me. And no."
Pain+Help+Please,"It hurts. I need your help. And if you would, please."
Pain+Help+ThankYou,I am in pain. Please help me. And thank you.
Pain+Help+Sorry,I'm in pain. I need your help. And I am sorry.
Pain+Help+Stop,I am in pain. Please assist me. And please stop.
Pain+Help+Wait,I am in pain. Please assist me. And give me a second.
Pain+Help+Hungry,I am in pain. Please assist me. And I need food.
Pain+Help+Water,It hurts. I need your help. And I'm thirsty.
Pain+Help+Emergency,It hurts. Please help me. And this is an emergency!
Pain+Help+Home,I am in pain. I need your assistance. And I want to go home.
Pain+Stop+Hello,"I'm in pain. Please wait right there. And hello."
Pain+Stop+Goodbye,I am in pain. Please halt. And goodbye.
Pain+Stop+Yes,"I am in pain. Please wait right there. And yes."
Pain+Stop+No,"I'm in pain. Please stop. And no."
Pain+Stop+Please,"It hurts. Please wait right there. And if you would, please."
Pain+Stop+ThankYou,It hurts. Please halt. And much appreciated.
Pain+Stop+Sorry,It hurts. Please halt. And I am sorry.
Pain+Stop+Help,I'm in pain. Please stop. And I need your help.
Pain+Stop+Wait,I am in pain. Please wait right there. And hold on.
Pain+Stop+Hungry,I'm in pain. Please stop. And I need food.
Pain+Stop+Water,I'm in pain. Please stop. And I need water.
Pain+Stop+Emergency,I am in pain. Please stop. And this is urgent!
Pain+Stop+Home,I'm in pain. Please stop. And I want to go home.
Pain+Wait+Hello,"It hurts. Give me a second. And hello."
Pain+Wait+Goodbye,I'm in pain. Give me a second. And goodbye.
Pain+Wait+Yes,"It hurts. Please wait a moment. And yes."
Pain+Wait+No,"It hurts. Please wait a moment. And no."
Pain+Wait+Please,"I'm in pain. Give me a second. And if you would, please."
Pain+Wait+ThankYou,It hurts. Please hold on. And much appreciated.
Pain+Wait+Sorry,It hurts. Give me a second. And I am sorry.
Pain+Wait+Help,It hurts. Please hold on. And I need your help.
Pain+Wait+Stop,I'm in pain. Please wait a moment. And please wait right there.
Pain+Wait+Hungry,It hurts. Please wait a moment. And I need food.
Pain+Wait+Water,It hurts. Please wait a moment. And I need water.
Pain+Wait+Emergency,It hurts. Please wait a moment. And this is urgent!
Pain+Wait+Home,I am in pain. Please hold on. And I want to go home.
Pain+Hungry+Hello,"I am in pain. I'm hungry. And hello."
Pain+Hungry+Goodbye,I am in pain. I need food. And goodbye.
Pain+Hungry+Yes,"I'm in pain. I need food. And yes."
Pain+Hungry+No,"I am in pain. I need food. And no."
Pain+Hungry+Please,"It hurts. I need food. And if you would, please."
Pain+Hungry+ThankYou,It hurts. Please get me food. And thanks.
Pain+Hungry+Sorry,I'm in pain. I need food. And I am sorry.
Pain+Hungry+Help,It hurts. I'm hungry. And I need your help.
Pain+Hungry+Stop,I'm in pain. Please get me food. And please stop.
Pain+Hungry+Wait,I'm in pain. I'm hungry. And give me a second.
Pain+Hungry+Water,It hurts. I need food. And I'm thirsty.
Pain+Hungry+Emergency,I am in pain. Please get me food. And this is an emergency!
Pain+Hungry+Home,It hurts. I need food. And let's go home.
Pain+Water+Hello,"It hurts. I'm thirsty. And hello."
Pain+Water+Goodbye,I am in pain. I need water. And goodbye.
Pain+Water+Yes,"It hurts. I'm thirsty. And yes."
Pain+Water+No,"I am in pain. I need water. And no."
Pain+Water+Please,"It hurts. I'm thirsty. And if you would, please."
Pain+Water+ThankYou,I am in pain. Please get me a drink. And thank you.
Pain+Water+Sorry,It hurts. Please get me a drink. And I am sorry.
Pain+Water+Help,It hurts. I'm thirsty. And I need your help.
Pain+Water+Stop,It hurts. Please get me a drink. And please stop.
Pain+Water+Wait,I'm in pain. I'm thirsty. And wait a moment.
Pain+Water+Hungry,It hurts. Please get me a drink. And I need food.
Pain+Water+Emergency,It hurts. I'm thirsty. And this is an emergency!
Pain+Water+Home,It hurts. I need water. And let's go home.
Pain+Emergency+Hello,"I am in pain. This is an emergency! And hello."
Pain+Emergency+Goodbye,It hurts. This is urgent! And goodbye.
Pain+Emergency+Yes,"I am in pain. This is an emergency! And yes."
Pain+Emergency+No,"I am in pain. This is an emergency! And no."
Pain+Emergency+Please,"I'm in pain. This is urgent! And if you would, please."
Pain+Emergency+ThankYou,I'm in pain. This is urgent! And much appreciated.
Pain+Emergency+Sorry,It hurts. This is an emergency! And I am sorry.
Pain+Emergency+Help,It hurts. This is urgent! And I need your help.
Pain+Emergency+Stop,I am in pain. This is urgent! And please stop.
Pain+Emergency+Wait,It hurts. This is an emergency! And wait a moment.
Pain+Emergency+Hungry,I am in pain. This is urgent! And I'm hungry.
Pain+Emergency+Water,I'm in pain. This is urgent! And I need a drink.
Pain+Emergency+Home,I am in pain. This is an emergency! And take me home.
Pain+Home+Hello,"I'm in pain. Take me home. And hello."
Pain+Home+Goodbye,It hurts. Let's go home. And goodbye.
Pain+Home+Yes,"It hurts. Let's go home. And yes."
Pain+Home+No,"It hurts. Take me home. And no."
Pain+Home+Please,"I am in pain. Take me home. And if you would, please."
Pain+Home+ThankYou,It hurts. Take me home. And thanks.
Pain+Home+Sorry,It hurts. Take me home. And I am sorry.
Pain+Home+Help,It hurts. Take me home. And I need your help.
Pain+Home+Stop,It hurts. Take me home. And please stop.
Pain+Home+Wait,I'm in pain. Let's go home. And hold on.
Pain+Home+Hungry,It hurts. Let's go home. And I need food.
Pain+Home+Water,I'm in pain. I want to go home. And I need water.
Pain+Home+Emergency,I'm in pain. Take me home. And this is urgent!
Emergency+Hello+Goodbye,"This is an emergency! Hello. And goodbye."
Emergency+Hello+Yes,"This is urgent! Hello. And yes, that is correct."
Emergency+Hello+No,"This is urgent! Hello. And no, that is incorrect."
Emergency+Hello+Please,"This is urgent! Hello. And if you would, please."
Emergency+Hello+ThankYou,"This is an emergency! Hello. And thanks."
Emergency+Hello+Sorry,"This is an emergency! Hello. And I am sorry."
Emergency+Hello+Help,"This is urgent! Hello. And I need your help."
Emergency+Hello+Stop,"This is urgent! Hello. And please wait right there."
Emergency+Hello+Wait,"This is an emergency! Hello. And give me a second."
Emergency+Hello+Hungry,"This is an emergency! Hello. And I need food."
Emergency+Hello+Water,"This is an emergency! Hello. And I need water."
Emergency+Hello+Pain,"This is an emergency! Hello. And I'm in pain."
Emergency+Hello+Home,"This is an emergency! Hello. And I want to go home."
Emergency+Goodbye+Hello,"This is urgent! Goodbye. And hello."
Emergency+Goodbye+Yes,"This is an emergency! Goodbye. And yes."
Emergency+Goodbye+No,"This is urgent! Goodbye. And no."
Emergency+Goodbye+Please,"This is an emergency! Goodbye. And if you would, please."
Emergency+Goodbye+ThankYou,This is an emergency! Goodbye. And much appreciated.
Emergency+Goodbye+Sorry,This is an emergency! Goodbye. And I am sorry.
Emergency+Goodbye+Help,This is an emergency! Goodbye. And I need your help.
Emergency+Goodbye+Stop,This is an emergency! Goodbye. And please wait right there.
Emergency+Goodbye+Wait,This is an emergency! Goodbye. And hold on.
Emergency+Goodbye+Hungry,This is urgent! Goodbye. And I need food.
Emergency+Goodbye+Water,This is an emergency! Goodbye. And I need water.
Emergency+Goodbye+Pain,This is an emergency! Goodbye. And I am in pain.
Emergency+Goodbye+Home,This is an emergency! Goodbye. And let's go home.
Emergency+Yes+Hello,"This is an emergency! Yes, that is correct. And hello."
Emergency+Yes+Goodbye,"This is an emergency! Yes. And goodbye."
Emergency+Yes+No,"This is urgent! Yes. And no, that is incorrect."
Emergency+Yes+Please,"This is an emergency! Yes. And if you would, please."
Emergency+Yes+ThankYou,"This is urgent! Yes. And thanks."
Emergency+Yes+Sorry,"This is an emergency! Yes. And I am sorry."
Emergency+Yes+Help,"This is an emergency! Yes. And I need your help."
Emergency+Yes+Stop,"This is an emergency! Yes. And please wait right there."
Emergency+Yes+Wait,"This is an emergency! Yes. And wait a moment."
Emergency+Yes+Hungry,"This is urgent! Yes. And I'm hungry."
Emergency+Yes+Water,"This is urgent! Yes. And I need a drink."
Emergency+Yes+Pain,"This is an emergency! Yes. And I'm in pain."
Emergency+Yes+Home,"This is urgent! Yes. And take me home."
Emergency+No+Hello,"This is an emergency! No, that is incorrect. And hello."
Emergency+No+Goodbye,"This is an emergency! No. And goodbye."
Emergency+No+Yes,"This is urgent! No. And yes, that is correct."
Emergency+No+Please,"This is urgent! No. And if you would, please."
Emergency+No+ThankYou,"This is urgent! No. And much appreciated."
Emergency+No+Sorry,"This is an emergency! No. And I am sorry."
Emergency+No+Help,"This is an emergency! No. And I need your assistance."
Emergency+No+Stop,"This is an emergency! No. And please wait right there."
Emergency+No+Wait,"This is an emergency! No. And wait a moment."
Emergency+No+Hungry,"This is urgent! No. And I need food."
Emergency+No+Water,"This is urgent! No. And I need a drink."
Emergency+No+Pain,"This is urgent! No. And I'm in pain."
Emergency+No+Home,"This is an emergency! No. And take me home."
Emergency+Please+Hello,"This is urgent! If you would, please. And hello."
Emergency+Please+Goodbye,"This is urgent! If you would, please. And goodbye."
Emergency+Please+Yes,"This is an emergency! If you would, please. And yes."
Emergency+Please+No,"This is an emergency! If you would, please. And no."
Emergency+Please+ThankYou,"This is an emergency! If you would, please. And thank you."
Emergency+Please+Sorry,"This is an emergency! If you would, please. And I am sorry."
